source_id,name_en,name_ms,name_default,feature_type,accessibility_type,wheelchair,tactile_paving,shelter,covered,bench,kerb,stroller,geom_type,geom_wkt,raw_properties
node/9646411432,Entrance A | Jalan Suasa 2,Pintu A | Jalan Suasa 2,Pintu A | Jalan Suasa 2,station_entrance,accessible_station_entrance,yes,,,,,,,Point,POINT(101.7087611 3.0636527),"{""@id"":""node/9646411432"",""level"":""0"",""name"":""Pintu A | Jalan Suasa 2"",""name:en"":""Entrance A | Jalan Suasa 2"",""name:ms"":""Pintu A | Jalan Suasa 2"",""railway"":""subway_entrance"",""ref"":""A"",""wheelchair"":""yes""}"
node/9655340020,LRT IOI Puchong,LRT IOI Puchong,LRT IOI Puchong,bus_stop,wheelchair_stop,yes,yes,yes,,yes,,,Point,POINT(101.6207748 3.0479776),"{""@id"":""node/9655340020"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""LRT IOI Puchong"",""name:en"":""LRT IOI Puchong"",""name:ms"":""LRT IOI Puchong"",""operator"":""RapidKL"",""public_transport"":""platform"",""ref"":""SJ680"",""shelter"":""yes"",""tactile_paving"":""yes"",""wheelchair"":""yes""}"
node/9702477237,,,,elevator,lift,,,,,,,,Point,POINT(101.7228998 3.1328851),"{""@id"":""node/9702477237"",""highway"":""elevator""}"
node/9740827817,,,,elevator,lift,,,,,,,,Point,POINT(101.723469 3.131623),"{""@id"":""node/9740827817"",""highway"":""elevator""}"
node/9740827880,,,,elevator,lift,,,,,,,,Point,POINT(101.7251162 3.1260444),"{""@id"":""node/9740827880"",""highway"":""elevator""}"
node/9773378576,,,,elevator,lift,,,,,,,,Point,POINT(101.6355346 3.1177141),"{""@id"":""node/9773378576"",""highway"":""elevator"",""ref"":""C""}"
node/9774145272,MRT Kampung Batu,MRT Kampung Batu,MRT Kampung Batu,bus_stop,wheelchair_stop,yes,yes,yes,,yes,,,Point,POINT(101.6757292 3.2051173),"{""@id"":""node/9774145272"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""MRT Kampung Batu"",""name:en"":""MRT Kampung Batu"",""name:ms"":""MRT Kampung Batu"",""name:zh"":""甘榜峇都地铁站"",""name:zh-Hans"":""甘榜峇都地铁站"",""name:zh-Hant"":""甘榜峇都地鐵站"",""operator"":""Rapid KL"",""public_transport"":""platform"",""ref"":""KL594"",""shelter"":""yes"",""tactile_paving"":""yes"",""wheelchair"":""yes""}"
node/9804194872,,,University Tower,bus_stop,wheelchair_stop,yes,no,yes,,yes,,,Point,POINT(101.6503336 3.1135079),"{""@id"":""node/9804194872"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""University Tower"",""network"":""Rapid KL Bus;LRT Feeder Bus;PJ City Bus"",""operator"":""Rapid Bus"",""public_transport"":""platform"",""ref"":""PJ251"",""route_ref"":""780;PJ02;T786"",""shelter"":""yes"",""tactile_paving"":""no"",""wheelchair"":""yes""}"
node/9804194874,PPUM,PPUM,PPUM,bus_stop,wheelchair_stop,yes,no,yes,,yes,,,Point,POINT(101.6508061 3.1143954),"{""@id"":""node/9804194874"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""PPUM"",""name:en"":""PPUM"",""name:ms"":""PPUM"",""old_ref"":""UN7"",""operator"":""Rapid Bus"",""public_transport"":""platform"",""ref"":""PJ258"",""shelter"":""yes"",""tactile_paving"":""no"",""wheelchair"":""yes""}"
node/9804194876,MAHSA University (East),MAHSA University (Timur),MAHSA University (Timur),bus_stop,wheelchair_stop,yes,yes,yes,,yes,,,Point,POINT(101.6497149 3.1170839),"{""@id"":""node/9804194876"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""realtime;timetable"",""highway"":""bus_stop"",""lit"":""yes"",""name"":""MAHSA University (Timur)"",""name:en"":""MAHSA University (East)"",""name:ms"":""MAHSA University (Timur)"",""network"":""Rapid KL Bus;PJ City Bus"",""operator"":""Rapid Bus"",""public_transport"":""platform"",""ref"":""PJ247"",""route_ref"":""PJ02;T786;T815"",""shelter"":""yes"",""tactile_paving"":""yes"",""wheelchair"":""yes""}"
